Customer_ID,Account_Type,Age,Gender,Region,Income,Balance,Credit_Score,Loan_Amount,Loan_Status,Transactions_Last_Month,Online_Banking,Mobile_App_Usage,Card_Holder,Cards_Count,Overdraft,Investment_Account,Insurance_Policies,Branch_Visits_Last_Year,Complaints_Last_Year,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40
CUST_00001,Business,68,Male,West,39600.61,14877.46,809,27578.43,Rejected,4,0,1,1,4,1,0,2,16,1,80.48,122.03,169.47,65.96,84.19,117.93,61.19,186.91,44.91,104.82,114.73,138.4,165.84,-16.4,37.18,153.63,33.62,50.32,72.4,37.18
CUST_00006,Loan,36,Other,North,73629.6,12842.44,785,17527.4,Pending,38,1,1,0,1,0,1,3,9,0,196.84,103.0,78.69,192.13,86.04,171.76,138.93,132.83,42.94,128.46,81.28,167.85,106.18,97.71,121.7,31.56,70.36,13.32,92.91,52.34
CUST_00010,Checking,70,Other,North,85297.6,32803.68,754,4987.66,Pending,46,0,1,0,1,1,1,1,14,0,139.57,94.68,141.14,69.67,61.29,85.3,48.69,125.78,96.56,126.08,69.36,129.86,147.07,198.95,9.61,95.97,43.07,193.15,24.16,110.9
CUST_00017,Loan,28,Male,South,84797.59,-2352.39,845,40143.05,Approved,29,1,0,1,1,0,0,2,13,2,39.97,140.67,97.04,72.02,132.92,68.81,122.82,181.62,77.38,98.6,60.37,128.84,155.55,99.45,52.95,20.43,93.3,54.31,35.84,126.29
CUST_00019,Loan,20,Other,West,62183.79,7336.18,813,22840.49,Approved,0,0,0,1,1,1,0,2,11,2,77.74,136.34,77.29,119.37,162.66,98.43,79.36,140.65,62.87,189.48,134.61,47.02,234.04,108.21,56.19,103.43,118.78,97.2,84.71,109.93
CUST_00021,Checking,22,Male,East,36955.95,26749.93,818,23882.2,Rejected,1,0,1,1,3,1,1,0,11,1,89.81,172.07,189.97,173.45,130.98,91.61,112.01,51.36,74.17,64.58,109.46,62.59,133.73,93.74,137.83,101.93,96.32,107.41,140.37,-55.94
CUST_00023,Checking,70,Female,North,57072.4,-2954.81,804,677.33,Pending,39,1,0,0,4,1,1,1,8,1,105.5,119.19,118.4,73.38,194.36,169.44,107.16,53.63,27.51,114.48,168.18,34.64,149.63,178.76,128.48,106.07,58.81,113.58,74.23,111.84
CUST_00040,Business,41,Female,West,66572.34,30522.12,848,29645.33,Pending,36,1,1,0,0,0,1,1,14,0,90.73,35.78,49.24,119.84,112.87,223.97,70.03,82.91,137.1,127.3,58.66,45.78,106.25,34.57,84.82,79.98,21.3,113.51,158.66,-61.55
CUST_00043,Checking,72,Other,South,60239.5,44238.56,812,14204.04,Rejected,10,1,1,0,4,0,0,4,9,0,89.56,40.18,155.92,171.29,188.16,120.52,168.46,142.66,43.2,64.27,164.56,139.6,67.46,76.61,70.28,69.41,128.32,126.95,49.7,105.86
CUST_00048,Business,29,Male,South,29293.56,29861.02,842,8117.08,Rejected,48,0,1,1,1,0,1,0,11,2,64.19,134.45,171.92,76.86,127.18,77.47,176.06,61.24,37.22,125.15,124.94,98.39,164.29,101.36,142.48,77.86,89.17,100.74,42.61,249.2
CUST_00059,Business,20,Other,East,117436.42,16804.68,782,21385.89,Pending,7,0,0,0,2,0,0,0,19,1,71.53,71.23,166.95,145.82,57.94,148.99,87.83,14.47,90.07,11.35,97.36,106.01,61.91,133.33,156.67,87.2,151.47,82.71,191.15,42.94
CUST_00060,Savings,79,Other,West,43808.53,29477.01,790,7467.09,Approved,15,0,1,0,1,1,1,0,9,2,22.48,104.66,76.08,60.46,102.7,71.75,114.58,144.66,225.17,97.78,144.22,79.95,86.05,81.71,164.29,160.56,93.37,58.99,248.72,161.85
CUST_00069,Loan,51,Male,South,15429.62,18393.12,777,15310.71,Pending,1,0,0,1,2,1,1,3,2,0,45.05,127.49,47.46,99.26,96.52,104.44,71.27,71.29,93.27,24.09,102.58,83.17,173.11,105.18,61.56,76.76,91.24,103.96,25.8,10.13
CUST_00075,Savings,35,Other,North,43731.72,38377.51,782,12088.11,Pending,45,1,1,0,1,0,0,0,10,1,50.64,12.68,143.18,149.42,98.34,43.14,31.27,61.4,84.03,128.22,41.71,69.02,115.73,190.94,188.55,78.65,119.95,152.8,155.77,31.77
CUST_00077,Loan,36,Female,South,38961.61,19048.84,814,16811.08,Pending,47,0,1,1,0,0,0,1,7,2,73.57,44.57,120.94,103.4,89.65,58.88,73.31,144.82,82.63,142.51,-39.56,89.84,133.86,138.67,122.11,62.33,71.19,143.43,12.8,123.93
CUST_00085,Business,78,Male,North,50293.04,-6978.53,809,11188.44,Approved,32,1,0,0,1,1,0,3,15,1,151.06,226.26,35.85,19.77,144.26,188.86,19.73,159.38,129.37,75.0,149.32,147.97,-3.95,108.8,73.15,87.15,110.48,124.53,90.57,79.97
CUST_00088,Savings,74,Male,West,53386.45,-6249.87,790,10825.88,Approved,17,0,0,0,0,0,1,0,5,1,71.74,128.4,115.81,17.55,119.32,151.27,93.95,61.99,70.59,150.79,146.44,87.76,16.74,99.8,116.29,89.58,66.8,162.81,-33.37,84.34
CUST_00094,Checking,28,Female,South,67344.46,11643.44,769,9657.02,Rejected,25,0,0,1,3,0,1,3,2,1,105.75,103.4,166.18,48.45,97.38,128.17,76.48,113.63,115.14,70.36,101.8,100.5,119.02,69.51,93.35,127.19,30.81,59.99,11.95,96.95
CUST_00095,Checking,77,Other,East,45344.65,12460.62,809,32798.49,Rejected,5,1,0,1,1,0,1,2,9,0,23.15,64.49,165.96,78.07,116.43,79.65,61.88,61.25,170.2,101.81,28.57,55.3,90.98,23.11,79.51,153.66,99.25,97.71,181.15,97.33
CUST_00096,Checking,70,Male,North,61819.08,27396.0,779,25672.41,Rejected,4,0,1,1,1,0,0,0,11,2,45.17,65.77,68.17,90.38,203.59,85.6,119.46,66.25,132.19,107.79,124.08,10.86,75.38,120.69,166.13,122.03,35.11,242.33,128.1,141.28
CUST_00101,Business,65,Male,East,26649.5,22405.47,754,32523.9,Rejected,31,0,1,1,2,0,0,1,9,2,62.67,106.43,86.71,116.71,193.56,63.22,166.57,68.07,137.64,159.83,118.22,120.1,33.4,95.41,93.84,175.56,141.67,27.75,55.77,16.0
CUST_00106,Checking,29,Female,South,45767.06,27291.16,776,18242.91,Rejected,7,1,0,1,2,0,0,0,8,2,100.2,148.33,87.17,151.47,70.25,30.57,178.01,125.8,60.96,48.55,123.45,102.77,122.53,79.86,153.8,82.97,147.74,58.03,148.6,196.93
CUST_00117,Savings,47,Other,South,28065.46,18368.9,788,17253.36,Rejected,15,0,1,1,3,1,0,1,4,0,75.7,136.23,116.98,168.65,97.29,99.77,-9.91,128.51,107.67,93.59,40.74,94.59,159.74,50.4,119.49,158.92,128.12,92.42,38.22,116.12
CUST_00125,Savings,43,Male,East,77732.05,55527.93,783,-9218.88,Pending,29,1,0,0,1,1,0,2,7,0,83.73,47.61,112.09,27.88,89.92,67.77,128.95,40.86,139.38,117.34,100.87,131.51,225.28,106.29,38.51,78.42,125.28,117.11,89.67,113.33
CUST_00128,Savings,71,Other,East,57080.71,34454.91,787,32272.03,Approved,1,1,0,0,1,0,1,0,15,0,55.15,46.0,110.22,140.23,82.86,126.56,84.65,36.54,66.39,123.01,30.51,124.81,32.87,-21.38,20.57,72.16,110.54,77.32,11.34,94.87
CUST_00129,Loan,78,Female,East,45770.87,14206.83,783,-3193.14,Approved,49,1,0,0,3,1,1,4,16,2,107.34,120.87,90.31,67.28,180.47,101.28,183.44,182.06,72.89,43.65,105.42,91.33,178.06,50.19,108.11,195.16,138.55,193.1,88.25,70.91
CUST_00130,Loan,61,Male,East,44951.7,1961.12,762,10791.76,Rejected,47,1,1,1,0,1,0,4,18,2,99.37,157.0,146.08,138.92,-9.87,78.99,12.63,113.57,44.32,196.47,91.05,152.13,94.83,125.12,139.63,162.06,160.05,178.85,62.86,72.12
CUST_00136,Savings,75,Male,West,45933.75,17832.08,769,20024.91,Pending,38,1,0,0,0,1,1,4,2,0,69.23,100.28,133.94,125.57,132.8,188.25,37.51,158.72,96.31,48.39,99.78,63.94,40.13,135.82,134.59,53.77,173.11,154.41,134.63,72.39
